symbol,entry_time,exit_time,direction,lots,per_lot_risk,risk_pct_used,scaled_pnl,equity_after_entry,exit_reason,skipped
LC,2025-07-30 14:25:00,2025-07-30 14:30:00,long,3,300.0,0.9,1577.73,100000.0,take_profit,False
PS,2025-07-30 14:25:00,2025-07-30 14:30:00,long,1,660.0,0.66,1242.8,100000.0,take_profit,False
PS,2025-07-31 13:40:00,2025-07-31 13:45:00,long,2,300.0,0.584,-662.06,102820.53,stop_loss,False
LC,2025-08-04 09:10:00,2025-08-04 09:15:00,long,3,340.0,0.998,1818.63,102158.47,take_profit,False
PS,2025-08-04 09:10:00,2025-08-04 09:20:00,long,1,810.0,0.793,1546.03,102158.47,take_profit,False
LC,2025-08-04 13:40:00,2025-08-04 13:55:00,long,3,340.0,0.967,-1061.79,105523.13,stop_loss,False
PS,2025-08-04 13:40:00,2025-08-04 13:55:00,long,0,1275.0,0.0,-0.0,105523.13,stop_loss,True
LC,2025-08-05 13:40:00,2025-08-05 13:45:00,short,3,320.0,0.919,1699.29,104461.34,take_profit,False
PS,2025-08-05 13:40:00,2025-08-05 14:15:00,short,1,810.0,0.775,-839.77,104461.34,stop_loss,False
PS,2025-08-06 09:10:00,2025-08-06 10:05:00,long,0,1080.0,0.0,0.0,105320.86,take_profit,True
PS,2025-08-06 13:40:00,2025-08-06 13:50:00,long,1,945.0,0.897,-976.23,105320.86,stop_loss,False
PS,2025-08-07 09:10:00,2025-08-07 09:50:00,short,0,1050.0,0.0,0.0,104344.63,take_profit,True
LC,2025-08-07 13:40:00,2025-08-07 13:45:00,short,5,180.0,0.863,1427.25,104344.63,take_profit,False
PS,2025-08-07 13:40:00,2025-08-07 13:45:00,short,0,300.0,0.0,0.0,104344.63,take_profit,True
PS,2025-08-08 09:10:00,2025-08-08 09:45:00,short,0,1080.0,0.0,0.0,105771.88,take_profit,True
LC,2025-08-08 13:40:00,2025-08-08 14:20:00,long,1,600.0,0.567,1124.74,105771.88,take_profit,False
PS,2025-08-08 13:40:00,2025-08-08 14:55:00,long,0,1545.0,0.0,0.0,105771.88,forced_close,True
PS,2025-08-11 09:10:00,2025-08-11 09:15:00,long,2,150.0,0.281,-360.8,106896.62,stop_loss,False
LC,2025-08-13 09:10:00,2025-08-13 09:15:00,short,3,280.0,0.788,1449.9,106535.82,take_profit,False
LC,2025-08-13 13:40:00,2025-08-13 14:55:00,short,0,1240.0,0.0,0.0,107985.72,forced_close,True
PS,2025-08-13 13:40:00,2025-08-13 14:10:00,short,1,1035.0,0.958,1993.83,107985.72,take_profit,False
PS,2025-08-14 09:10:00,2025-08-14 09:15:00,short,1,690.0,0.627,1304.29,109979.55,take_profit,False
LC,2025-08-14 13:40:00,2025-08-14 13:45:00,long,4,260.0,0.935,-1106.84,111283.84,stop_loss,False
PS,2025-08-14 13:40:00,2025-08-14 13:45:00,long,0,345.0,0.0,-0.0,111283.84,stop_loss,True
LC,2025-08-15 09:10:00,2025-08-15 09:15:00,short,2,440.0,0.799,-913.84,110177.0,stop_loss,False
PS,2025-08-15 09:10:00,2025-08-15 09:35:00,short,1,945.0,0.858,-974.85,110177.0,stop_loss,False
PS,2025-08-18 09:10:00,2025-08-18 09:45:00,long,0,1125.0,0.0,-0.0,108288.31,stop_loss,True
LC,2025-08-18 13:40:00,2025-08-18 14:15:00,short,2,440.0,0.813,1604.46,108288.31,take_profit,False
LC,2025-08-19 09:10:00,2025-08-19 09:20:00,short,4,220.0,0.801,-950.0,109892.77,stop_loss,False
PS,2025-08-20 13:40:00,2025-08-20 13:55:00,long,1,720.0,0.661,1364.6,108942.77,take_profit,False
LC,2025-08-21 09:10:00,2025-08-21 09:50:00,short,1,560.0,0.508,-576.47,110307.37,stop_loss,False
LC,2025-08-22 09:10:00,2025-08-22 09:15:00,short,3,280.0,0.766,1450.86,109730.9,take_profit,False
PS,2025-08-22 09:10:00,2025-08-22 09:20:00,short,1,450.0,0.41,824.12,109730.9,take_profit,False
LC,2025-08-25 09:10:00,2025-08-25 09:20:00,short,4,260.0,0.929,1776.44,112005.88,take_profit,False
LC,2025-08-25 13:40:00,2025-08-25 13:55:00,long,2,380.0,0.668,-791.74,113782.32,stop_loss,False
PS,2025-08-26 13:40:00,2025-08-26 13:45:00,short,3,165.0,0.438,762.96,112990.58,take_profit,False
PS,2025-08-27 09:10:00,2025-08-27 09:15:00,short,3,180.0,0.475,-631.14,113753.54,stop_loss,False
PS,2025-08-28 13:40:00,2025-08-28 13:45:00,long,3,225.0,0.597,1126.74,113122.4,take_profit,False
