symbol,trading_date,session_kind,direction,entry_time,entry_price,stop_price,exit_time,exit_price,exit_reason,multiplier,per_lot_risk,pnl,return_pct
LC,2025-07-30,日盘,long,2025-07-30 14:25:00,70200.0,69900.0,2025-07-30 14:30:00,70740.0,take_profit,1,300.0,525.91,0.5259
PS,2025-07-30,日盘,long,2025-07-30 14:25:00,53455.0,53235.0,2025-07-30 14:30:00,53880.0,take_profit,3,660.0,1242.8,1.2428
PS,2025-07-31,日盘,long,2025-07-31 13:40:00,51770.0,51670.0,2025-07-31 13:45:00,51670.0,stop_loss,3,300.0,-331.03,-0.331
LC,2025-08-04,日盘,long,2025-08-04 09:10:00,68620.0,68280.0,2025-08-04 09:15:00,69240.0,take_profit,1,340.0,606.21,0.6062
PS,2025-08-04,日盘,long,2025-08-04 09:10:00,48020.0,47750.0,2025-08-04 09:20:00,48545.0,take_profit,3,810.0,1546.03,1.546
LC,2025-08-04,日盘,long,2025-08-04 13:40:00,69840.0,69500.0,2025-08-04 13:55:00,69500.0,stop_loss,1,340.0,-353.93,-0.3539
PS,2025-08-04,日盘,long,2025-08-04 13:40:00,48665.0,48240.0,2025-08-04 13:55:00,48240.0,stop_loss,3,1275.0,-1304.07,-1.3041
LC,2025-08-05,日盘,short,2025-08-05 13:40:00,68160.0,68480.0,2025-08-05 13:45:00,67580.0,take_profit,1,320.0,566.43,0.5664
PS,2025-08-05,日盘,short,2025-08-05 13:40:00,49485.0,49755.0,2025-08-05 14:15:00,49755.0,stop_loss,3,810.0,-839.77,-0.8398
PS,2025-08-06,日盘,long,2025-08-06 09:10:00,51055.0,50695.0,2025-08-06 10:05:00,51760.0,take_profit,3,1080.0,2084.16,2.0842
PS,2025-08-06,日盘,long,2025-08-06 13:40:00,52210.0,51895.0,2025-08-06 13:50:00,51895.0,stop_loss,3,945.0,-976.23,-0.9762
PS,2025-08-07,日盘,short,2025-08-07 09:10:00,50995.0,51345.0,2025-08-07 09:50:00,50310.0,take_profit,3,1050.0,2024.61,2.0246
LC,2025-08-07,日盘,short,2025-08-07 13:40:00,72900.0,73080.0,2025-08-07 13:45:00,72600.0,take_profit,1,180.0,285.45,0.2854
PS,2025-08-07,日盘,short,2025-08-07 13:40:00,50965.0,51065.0,2025-08-07 13:45:00,50780.0,take_profit,3,300.0,524.48,0.5245
PS,2025-08-08,日盘,short,2025-08-08 09:10:00,49915.0,50275.0,2025-08-08 09:45:00,49210.0,take_profit,3,1080.0,2085.26,2.0853
LC,2025-08-08,日盘,long,2025-08-08 13:40:00,75740.0,75140.0,2025-08-08 14:20:00,76880.0,take_profit,1,600.0,1124.74,1.1247
PS,2025-08-08,日盘,long,2025-08-08 13:40:00,50060.0,49545.0,2025-08-08 14:55:00,50790.0,forced_close,3,1545.0,2159.74,2.1597
PS,2025-08-11,日盘,long,2025-08-11 09:10:00,50700.0,50650.0,2025-08-11 09:15:00,50650.0,stop_loss,3,150.0,-180.4,-0.1804
LC,2025-08-13,日盘,short,2025-08-13 09:10:00,83740.0,84020.0,2025-08-13 09:15:00,83240.0,take_profit,1,280.0,483.3,0.4833
LC,2025-08-13,日盘,short,2025-08-13 13:40:00,85780.0,87020.0,2025-08-13 14:55:00,85100.0,forced_close,1,1240.0,662.91,0.6629
PS,2025-08-13,日盘,short,2025-08-13 13:40:00,52280.0,52625.0,2025-08-13 14:10:00,51605.0,take_profit,3,1035.0,1993.83,1.9938
PS,2025-08-14,日盘,short,2025-08-14 09:10:00,51400.0,51630.0,2025-08-14 09:15:00,50955.0,take_profit,3,690.0,1304.29,1.3043
LC,2025-08-14,日盘,long,2025-08-14 13:40:00,83660.0,83400.0,2025-08-14 13:45:00,83400.0,stop_loss,1,260.0,-276.71,-0.2767
PS,2025-08-14,日盘,long,2025-08-14 13:40:00,49745.0,49630.0,2025-08-14 13:45:00,49630.0,stop_loss,3,345.0,-374.81,-0.3748
LC,2025-08-15,日盘,short,2025-08-15 09:10:00,84380.0,84820.0,2025-08-15 09:15:00,84820.0,stop_loss,1,440.0,-456.92,-0.4569
PS,2025-08-15,日盘,short,2025-08-15 09:10:00,49590.0,49905.0,2025-08-15 09:35:00,49905.0,stop_loss,3,945.0,-974.85,-0.9748
PS,2025-08-18,日盘,long,2025-08-18 09:10:00,53020.0,52645.0,2025-08-18 09:45:00,52645.0,stop_loss,3,1125.0,-1156.7,-1.1567
LC,2025-08-18,日盘,short,2025-08-18 13:40:00,89260.0,89700.0,2025-08-18 14:15:00,88440.0,take_profit,1,440.0,802.23,0.8022
LC,2025-08-19,日盘,short,2025-08-19 09:10:00,87380.0,87600.0,2025-08-19 09:20:00,87600.0,stop_loss,1,220.0,-237.5,-0.2375
PS,2025-08-20,日盘,long,2025-08-20 13:40:00,50430.0,50190.0,2025-08-20 13:55:00,50895.0,take_profit,3,720.0,1364.6,1.3646
LC,2025-08-21,日盘,short,2025-08-21 09:10:00,82080.0,82640.0,2025-08-21 09:50:00,82640.0,stop_loss,1,560.0,-576.47,-0.5765
LC,2025-08-22,日盘,short,2025-08-22 09:10:00,82160.0,82440.0,2025-08-22 09:15:00,81660.0,take_profit,1,280.0,483.62,0.4836
PS,2025-08-22,日盘,short,2025-08-22 09:10:00,51605.0,51755.0,2025-08-22 09:20:00,51320.0,take_profit,3,450.0,824.12,0.8241
LC,2025-08-25,日盘,short,2025-08-25 09:10:00,79660.0,79920.0,2025-08-25 09:20:00,79200.0,take_profit,1,260.0,444.11,0.4441
LC,2025-08-25,日盘,long,2025-08-25 13:40:00,79520.0,79140.0,2025-08-25 13:55:00,79140.0,stop_loss,1,380.0,-395.87,-0.3959
PS,2025-08-26,日盘,short,2025-08-26 13:40:00,51180.0,51235.0,2025-08-26 13:45:00,51085.0,take_profit,3,165.0,254.32,0.2543
PS,2025-08-27,日盘,short,2025-08-27 09:10:00,50600.0,50660.0,2025-08-27 09:15:00,50660.0,stop_loss,3,180.0,-210.38,-0.2104
PS,2025-08-28,日盘,long,2025-08-28 13:40:00,48960.0,48885.0,2025-08-28 13:45:00,49095.0,take_profit,3,225.0,375.58,0.3756
LC,2025-09-01,日盘,short,2025-09-01 09:10:00,76820.0,77140.0,2025-09-01 09:20:00,77140.0,stop_loss,1,320.0,-335.4,-0.3354
PS,2025-09-01,日盘,short,2025-09-01 09:10:00,48705.0,48865.0,2025-09-01 09:15:00,48865.0,stop_loss,3,480.0,-509.27,-0.5093
PS,2025-09-01,日盘,short,2025-09-01 13:40:00,48655.0,48725.0,2025-09-01 13:45:00,48725.0,stop_loss,3,210.0,-239.21,-0.2392
PS,2025-09-02,日盘,short,2025-09-02 13:40:00,51985.0,52075.0,2025-09-02 13:45:00,52075.0,stop_loss,3,270.0,-301.22,-0.3012
PS,2025-09-03,日盘,long,2025-09-03 13:40:00,52190.0,52145.0,2025-09-03 13:45:00,52145.0,stop_loss,3,135.0,-166.3,-0.1663
LC,2025-09-04,日盘,long,2025-09-04 09:10:00,71820.0,71580.0,2025-09-04 09:30:00,72240.0,take_profit,1,240.0,405.59,0.4056
LC,2025-09-04,日盘,short,2025-09-04 13:40:00,73480.0,73720.0,2025-09-04 13:50:00,73720.0,stop_loss,1,240.0,-254.72,-0.2547
PS,2025-09-05,日盘,long,2025-09-05 09:10:00,53900.0,53480.0,2025-09-05 10:00:00,54725.0,take_profit,3,1260.0,2442.41,2.4424
LC,2025-09-08,日盘,long,2025-09-08 09:10:00,74660.0,74360.0,2025-09-08 09:15:00,74360.0,stop_loss,1,300.0,-314.9,-0.3149
PS,2025-09-08,日盘,long,2025-09-08 13:40:00,55795.0,55655.0,2025-09-08 13:50:00,55655.0,stop_loss,3,420.0,-453.44,-0.4534
LC,2025-09-09,日盘,short,2025-09-09 09:10:00,74640.0,75000.0,2025-09-09 09:15:00,75000.0,stop_loss,1,360.0,-374.96,-0.375
LC,2025-09-10,日盘,long,2025-09-10 09:10:00,70360.0,70120.0,2025-09-10 09:15:00,70120.0,stop_loss,1,240.0,-254.05,-0.254
LC,2025-09-10,日盘,long,2025-09-10 13:40:00,70600.0,70500.0,2025-09-10 13:45:00,70740.0,take_profit,1,100.0,125.87,0.1259
PS,2025-09-10,日盘,long,2025-09-10 13:40:00,53100.0,53025.0,2025-09-10 13:50:00,53235.0,take_profit,3,225.0,373.1,0.3731
PS,2025-09-11,日盘,long,2025-09-11 13:40:00,53170.0,53070.0,2025-09-11 13:45:00,53070.0,stop_loss,3,300.0,-331.87,-0.3319
PS,2025-09-12,日盘,long,2025-09-12 13:40:00,54260.0,53935.0,2025-09-12 13:55:00,53935.0,stop_loss,3,975.0,-1007.46,-1.0075
PS,2025-09-15,日盘,short,2025-09-15 09:10:00,52885.0,53080.0,2025-09-15 09:25:00,53080.0,stop_loss,3,585.0,-616.79,-0.6168
PS,2025-09-15,日盘,long,2025-09-15 13:40:00,53820.0,53585.0,2025-09-15 14:10:00,53585.0,stop_loss,3,705.0,-737.22,-0.7372
